cohort,variable,n_total,n_valid,n_missing,pct_missing,n_positive,prevalence
ACC,mut_TP53,93,93,0,0.0,18.0,0.1935483870967742
ACC,mut_CTNNB1,93,93,0,0.0,14.0,0.15053763440860216
ACC,mut_MEN1,93,93,0,0.0,7.0,0.07526881720430108
ACC,mut_ZNRF3,93,93,0,0.0,4.0,0.043010752688172046
ACC,mut_PRKAR1A,93,93,0,0.0,5.0,0.053763440860215055
ACC,msi_mantis,93,91,2,2.150537634408602,,
ACC,msi_sensor,93,91,2,2.150537634408602,,
ACC,tmb,93,91,2,2.150537634408602,,
ACC,aneuploidy,93,89,4,4.301075268817204,,
ACC,fga,93,89,4,4.301075268817204,,
ACC,label_tmb_high,93,91,2,2.150537634408602,23.0,0.25274725274725274
ACC,label_fga_high,93,89,4,4.301075268817204,23.0,0.25842696629213485
ACC,label_aneuploidy_high,93,89,4,4.301075268817204,23.0,0.25842696629213485
UVM,mut_BAP1,80,80,0,0.0,13.0,0.1625
UVM,mut_SF3B1,80,80,0,0.0,18.0,0.225
UVM,mut_GNAQ,80,80,0,0.0,40.0,0.5
UVM,mut_GNA11,80,80,0,0.0,36.0,0.45
UVM,mut_EIF1AX,80,80,0,0.0,10.0,0.125
UVM,msi_mantis,80,80,0,0.0,,
UVM,msi_sensor,80,80,0,0.0,,
UVM,tmb,80,80,0,0.0,,
UVM,aneuploidy,80,80,0,0.0,,
UVM,fga,80,80,0,0.0,,
UVM,label_tmb_high,80,80,0,0.0,20.0,0.25
UVM,label_fga_high,80,80,0,0.0,20.0,0.25
UVM,label_aneuploidy_high,80,80,0,0.0,23.0,0.2875
UVM,label_histology_3class,80,80,0,0.0,,
UVM,label_chr3_loss,80,52,28,35.0,31.0,0.5961538461538461
MESO,mut_BAP1,87,87,0,0.0,18.0,0.20689655172413793
MESO,mut_NF2,87,87,0,0.0,20.0,0.22988505747126436
MESO,mut_TP53,87,87,0,0.0,14.0,0.16091954022988506
MESO,mut_SETD2,87,87,0,0.0,8.0,0.09195402298850575
MESO,mut_CDKN2A,87,87,0,0.0,0.0,0.0
MESO,msi_mantis,87,83,4,4.597701149425287,,
MESO,msi_sensor,87,83,4,4.597701149425287,,
MESO,tmb,87,86,1,1.1494252873563218,,
MESO,aneuploidy,87,81,6,6.896551724137931,,
MESO,fga,87,87,0,0.0,,
MESO,label_tmb_high,87,86,1,1.1494252873563218,23.0,0.26744186046511625
MESO,label_fga_high,87,87,0,0.0,22.0,0.25287356321839083
MESO,label_aneuploidy_high,87,81,6,6.896551724137931,23.0,0.2839506172839506
MESO,label_histology_epi,87,87,0,0.0,57.0,0.6551724137931034
MESO,label_cdkn2a_homdel,87,87,0,0.0,39.0,0.4482758620689655
CHOL,mut_IDH1,51,51,0,0.0,5.0,0.09803921568627451
CHOL,mut_IDH2,51,51,0,0.0,2.0,0.0392156862745098
CHOL,mut_TP53,51,51,0,0.0,4.0,0.0784313725490196
CHOL,mut_KRAS,51,51,0,0.0,2.0,0.0392156862745098
CHOL,mut_ARID1A,51,51,0,0.0,4.0,0.0784313725490196
CHOL,msi_mantis,51,36,15,29.41176470588235,,
CHOL,msi_sensor,51,36,15,29.41176470588235,,
CHOL,tmb,51,36,15,29.41176470588235,,
CHOL,aneuploidy,51,36,15,29.41176470588235,,
CHOL,fga,51,36,15,29.41176470588235,,
CHOL,label_tmb_high,51,36,15,29.41176470588235,9.0,0.25
CHOL,label_fga_high,51,36,15,29.41176470588235,9.0,0.25
CHOL,label_aneuploidy_high,51,36,15,29.41176470588235,9.0,0.25
THYM,mut_GTF2I,124,124,0,0.0,60.0,0.4838709677419355
